#DocumentID	StartOffset	EndOffset	Abbreviation	Definition	Definition_lemmatized
S0004-06142005001000011-1	1963	1968	ELISA	análisis de inmunoabsorción ligada a las enzimas	análisis de inmunoabsorción ligada a las enzimas
S0004-06142005001000011-1	1009	1011	gr	gramo	gramo
S0004-06142005001000011-1	2207	2210	TSP	paraparesia espástica tropical	paraparesia espástica tropical
S0004-06142005001000011-1	2047	2053	HTLV-I	virus de la leucemia humana de células t, tipo 1	virus de la leucemia humana de células t, tipo 1
S0004-06142005001000011-1	1715	1718	RMN	resonancia magnética nuclear	resonancia magnética nuclear
S0004-06142005001000011-1	1626	1629	ROT	reflejo osteotendinoso	reflejo osteotendinoso
S0004-06142005001000011-1	145	148	IRC	insuficiencia renal crónica	insuficiencia renal crónica
S0004-06142005001000011-1	1031	1033	mg	miligramo	miligramo
S0004-06142005001000011-1	979	981	mg	miligramo	miligramo
S0004-06142005001000011-1	2057	2060	LCR	reacción en cadena de la ligasa 	reacción en cadena de la ligasa 
S0004-06142005001000011-1	1808	1811	LCR	líquido cefalorraquídeo	líquido cefalorraquídeo
S0004-06142005001000011-1	1034	1036	Kg	kilogramo	kilogramo
S0004-06142005001000011-1	982	984	Kg	kilogramo	kilogramo
S0004-06142005001000011-1	2103	2106	PCR	reacción en cadena de la polimerasa	reacción en cadena de la polimerasa
S0004-06142005001000011-1	2012	2015	PCR	reacción en cadena de la polimerasa	reacción en cadena de la polimerasa
S0004-06142005001000011-1	1663	1666	RCP	reacción en cadena de la polimerasa	reacción en cadena de la polimerasa
S0004-06142005001000011-1	1594	1598	EEII	extremidades inferiores	extremidades inferiores
S0004-06142005001000011-1	1455	1459	EEII	extremidades inferiores	extremidades inferiores
S0004-06142005001000011-1	572	574	II	incontinencia imperiosa	incontinencia imperiosa
S0004-06142005001000011-3	1541	1546	ELISA	análisis de inmunoabsorción ligada a las enzimas	análisis de inmunoabsorción ligada a las enzimas
S0004-06142005001000011-3	234	237	HDA	hiperplasia ductal atípica	hiperplasia ductal atípica
S0004-06142005001000011-3	1385	1389	PEES	panencefalitis esclerosante subaguda	panencefalitis esclerosante subaguda
S0004-06142005001000011-3	1575	1581	HTLV-I	virus de la leucemia humana de células t, tipo 1	virus de la leucemia humana de células t, tipo 1
S0004-06142005001000011-3	1470	1476	HTLV-I	virus de la leucemia humana de células t, tipo 1	virus de la leucemia humana de células t, tipo 1
S0004-06142005001000011-3	1135	1138	RMN	resonancia magnética nuclear	resonancia magnética nuclear
S0004-06142005001000011-3	976	979	ROT	reflejo osteotendinoso	reflejo osteotendinoso
S0004-06142005001000011-3	1435	1438	LCR	reacción en cadena de la ligasa 	reacción en cadena de la ligasa 
S0004-06142005001000011-3	942	945	EID	extremidad inferior derecha	extremidad inferior derecha
