EEII	extremidades inferiores
TSP	paraparesia espástica tropical
RMN	resonancia magnética nuclear
ROT	reflejos osteotendinosos
LCR	líquido cefalorraquídeo
PCR	reacción en cadena de la polimerasa
RCP	reflejo cutaneoplantar
ELISA	Determinación sanguínea de anticuerpos 
FAV	fístula arteriovenosa
VSG	lt y una eritosedimentación 
TAC	que se correspondió con la aparición en las pruebas de imagen 
CEA	Carcino Embrionario
IHQ	 anatomía patológica revela: Tumor maligno indiferenciado de estirpe a diferenciar por inmunohistoquímica 
PCR	 La amplificación genómica 
P.A.A.F.	Se realiza punción aspiración por aguja fina 
T.A.C.	La tomografía axial computerizada de cuerpo completo 
LDH	Lactato deshidrogenosa
TC	Tomografía computarizada
NSE	neuronal específica
CK	creatinfosfokinasa
RMN	Resonancia Magnética Nuclear
TAC	tomografía axial computerizada
T1G2	 exfumador y diagnosticado de carcinoma papilar urotelial de vejiga 
HSA	Hemorragia Subaracnoidea
GH	 destaca un retraso en el crecimiento aislado que requirió tratamiento con hormona del crecimiento 
CSMIJ	venil 
TEA	 La información obtenida permite objetivar signos de un trastorno del espectro autista 
TOM	 Pruebas de Teoría de la Mente 
RM	Resonancia Magnética
AINE	 siguió tratamiento prolongado con antiinflamatorios no esteroideos 
FR	factor reumatoide
IFd	 el estudio de inmunofluorescencia directa 
GN	glomerulonefritis
TA	tensión arterial
TC	tomografía computarizada
ANA	 los anticuerpos antinucleares 
ANCA	anticitoplasma de neutrófilos
NCM	nefropatía de cambios mínimos
EEG	 realizó electroencefalograma 
TAC	tomografía axial computarizada
DPCA	diálisis peritoneal continua ambulatoria
TCY	tumor de células yuxtaglomerulares
AP	aldosterona plasmática
PA	presión arterial
ARP	actividad de renina plasmática
EDA	endoscopia digestiva alta
NE	nutrición enteral
IMC	índice de masa corporal
CK	 570 y creatín quinasa 
ETT	Ecocardiografia Transtorácica
EI	Endocarditis Infecciosa
ICC	insuficiencia cardiaca congestiva
FAC	fibrilación auricular crónica
ETE	 y Transesofágica 
TC	tomografía computerizada
RM	resonancia magnética
PET	tomografía con emisión de positrones
TC	 Se realizó un estudio de neuroimagen con tomografía axial computarizada 
ENA	 perfil de antigenos extraíbles del núcleo 
TPHA	 la de hematoaglutinación para treponema 
LV	leucoplasia vellosa
AV	agudeza visual
OD	ojo derecho
AV	agudeza visual
DR	desprendimiento de retina
TC	tomografóa computarizada
OD	ojo derecho
PIO	presión intraocular
OI	ojo izquierdo
OD	ojo derecho
AV	agudeza visual
PIO	presión intraocular
OI	ojo izquierdo
OD	ojo derecho
AV	agudeza visual
OI	ojo izquierdo
AO	ambos ojos
TO	tensión ocular
OD	ojo derecho
OI	ojo izquierdo
VSG	velocidad de sedimentación globular
PIO	presión intraocular
OCT	 La tomografía óptica de coherencia 
EPR	epitelio pigmentario de la retina
OD	6 
OI	5 
AV	agudeza visual
OD	ojo derecho
OD	ojo derecho
OI	25 en el izquierdo 
AV	agudeza visual
OD	ojo derecho
OI	ojo izquierdo
RMN	resonancia magnética nuclear
TAC	tomografía axial computarizada
OI	ojo izquierdo
AO	ambos ojos
RMN	resonancia magnética nuclear
OD	ojo derecho
PIO	presión intraocular
OI	ojo izquierdo
SF6	3 ml de hexafluoruro de azufre 
AFG	 realiza una angiofluoresceingrafía 
MNV	membrana neovascular
OD	ojo derecho
AV	agudeza visual
OI	ojo izquierdo
PL	percepción de luz
RMN	resonancia magnética nuclear
MM	manos
OCT	tomografía de coherencia óptica
FO	fondo de ojo
AV	agudeza visual
OI	ojo izquierdo
AR	artritis reumatoide
FAME	Había recibido tratamiento previo con diferentes fármacos modificadores de la enfermedad 
AV	agudeza visual
OD	ojo derecho
OI	ojo izquierdo
RC	remisión completa
OCT	tomografía de coherencia óptica
OD	ojo derecho
AV	agudeza visual
OI	ojo izquierdo
TAC	tomografía axial computarizada
IV	intravenosa
TAC	tomografía axial computarizada
T2	 El diámetro máximo del tumor primario era 3 cm 
MU	Millones de Unidades
A.P.	 El resultado anatomo-patológico 
TAC	tomografía axial computerizada
BAC	bloqueo androgénico completo
NF	Nefrectomía
EEG	El electroencefalograma
RMN	resonancia magnética
LCR	líquido céfalo-raquídeo
PET	tomografía por emisión de positrones
UCI	Unidad de Cuidados Intensivos
BAL	 Tras los resultados se realizó fibrobroncoscopia con lavado bronquioalveolar 
BTB	biopsia transbronquial
TC	tomograféa computerizada
USE	una ecoendoscopia
USE	 La ecografía abdominal mostró dilatación de la vía biliar intra- y extrahepática y la ecoendoscopia 
CPRE	 se realizó una colangiopancreatografía retrógrada endoscópica 
TC	tomografía computerizada
CD138	número de células plasmáticas 
ECM	cm de diámetro medial al tercio inferior del músculo esternocleidomastoideo 
TC	tomografía computerizada
HHF35	 desmina y actina muscular 
PAAF	aspiración con aguja fina 
EMA	epitelial de membrana
RM	resonancia magnética
PET	tomografía por emisión de positrones
RMN	resonancia magnética nuclear
RM	resonancia magnética
TC	tomografía computarizada
TTPA	y de tromboplastina parcial activada 
LCR	líquido cefalorraquídeo
TP	tiempos de protrombina
MO	médula ósea
SP	sangre periférica
PASI	se valoró la severidad mediante el cálculo de Psoriasis Area and Severity Index 
CFT	por lo que se solicita a la Comisión de Farmacia y Terapéutica 
CAPS	Síndromes Periódicos Asociados a la Criopirina
R.N.	rango normalidad 
SIADH	con Síndrome de Secreción Inadecuada de Hormona Antidiurética 
RMC	Resonancia Magnética Cerebral
PL	periodo de lavado
ECG	 En el electrocardiograma 
AL	anestésico local
BIS	 para conseguir un índice biespectral 
EVA	escala visual analógica
RM	resonancia magnética
MG	miastenia gravis
TC	tomografía computarizada
AINE	remitiendo dicha sintomatología parcialmente con antiinflamatorios no esteroideos 
UCI	Unidad de Cuidados Intensivos
CMI	concentración mínima inhibitoria
PCR	reacción en cadena de la polimerasa
IFI	 contra dengue 
AAS	ácido acetil-salicílico
G1P0A1	 legrado por embarazo molar 
IGIV	a desconocido y se inició tratamiento con inmunoglobulinas endovenosas 
EEG	rante su ingreso se completó el estudio con un electrencefalograma 
TBP	año y tuberculosis pulmonar 
TAC	tomografía axial computerizada
FMP	 diagnosticado de silicosis complicada  // fibrosis masiva progresiva // 
LSD	lóbulo superior derecho
IBP	inhibidores de la bomba de protones
Rx	 radiografía 
TC	tomografía computarizada
BAS	 Además se realizaron cuatro broncoaspirados de secreciones 
PFR	pruebas de función respiratoria
RM	resonancia magnética
TC	tomografía computarizada
ECG	 el pediatra realiza un electrocardiograma 
RM	resonancia magnética
Hb	hemoglobina
PCR	 reactiva 
UCIP	Unidad de Cuidados Intensivos Pediátricos
RM	resonancia magnética
VSG	velocidad de sedimentación globular
INR	internacional normalizado
LDH	 lactatodeshidrogenasa 
FISH	hibridización in situ con fluorescencia 
CK	la tumoración mostró positividad con citoqueratina 
EEG	el electroencefalograma 
LCR	líquido cefalorraquídeo
RM	resonancia magnética
PL	punción lumbar
EEF	estudio electrofisiológico
CAMD	Centro Andaluz de Medicina del Deporte
RF	radiofrecuencia
BRD	bloqueo de rama derecha
AV	auriculo-ventricular
EEII	extremidades inferiores
TSP	paraparesia espástica tropical
RMN	resonancia magnética nuclear
ROT	reflejos osteotendinosos
LCR	líquido cefalorraquídeo
PCR	reacción en cadena de la polimerasa
RCP	reflejo cutaneoplantar
ELISA	Determinación sanguínea de anticuerpos 
ECG	 En el electrocardiograma 
DTM	desórdenes temporomandibulares
TAC	tomografía computerizada
TC	tomografía computarizada
PAAF	aspiración con aguja fina 
RM	resonancia magnética
TAC	 No se palpaban adenomegalias en el cuello y se descartó patología regional y alejada mediante estudios de im�genes  // tomograf�a axial computarizada // 
FAV	fístula arteriovenosa
OD	ojo derecho
TAC	Tomografia Axial Computarizada
CA	cámara anterior
BPA	la biomicroscopía 
OD	ojo derecho
AV	agudeza visual
OI	ojo izquierdo
AV	agudeza visual
OI	ojo izquierdo
TAC	 que se correspondió con la aparición en las pruebas de imagen 
CEA	Carcino Embrionario
PIO	presión intraocular
RMN	resonancia magnética nuclear
NOT	neuropatía óptica traumática
RMN	resonancia magnética nuclear
OD	ojo derecho
AV	agudeza visual
DPAR	defecto pupilar aferente relativo
TC	tomografía computarizada
VSG	lt y una eritosedimentación 
OD	ojo derecho
AV	agudeza visual
OI	ojo izquierdo
AO	ambos ojos
PAAF	punción-aspiración con aguja fina
TC	tomografía computarizada
RNM	Resonancia Nuclear Magnética
OD	ojo derecho
AV	agudeza visual
OI	ojo izquierdo
MA	membrana amniótica
AV	agudeza visual
OD	ojo derecho
OI	ojo izquierdo
EVA	escala visual analógica
OD	ojo derecho
AGF	angiografía fluoresceínica
ICG	 La angiografía con verde de indocianina 
OD	ojo derecho
OI	ojo izquierdo
VSG	velocidad de sedimentación globular
ECG	 Se le realiza electrocardiograma 
OD	ojo derecho
AV	agudeza visual
OI	ojo izquierdo
AO	ambos ojos
TC	tomografía computerizada
OD	Hg  // ojo derecho // 
PIO	presión intraocular
OI	Hg  // ojo izquierdo // 
BMU	biomicroscopía ultrasónica
AGF	angiografía fluoresceínica
OCT	tomografía de coherencia óptica 
DRNS	desprendimiento de retina neurosensorial
AVI	 y verde de indocianina 
