# Document_ID	StartOffset	EndOffset	Abbreviation	Definition	Definition_lemmatized
S0004-06142005001000011-1.txt	SHORT_FORM	EEII	SHORT-LONG	LONG_FORM	extremidades inferiores
S0004-06142005001000011-1.txt	SHORT_FORM	TSP	SHORT-LONG	LONG_FORM	paraparesia esp�stica tropical
S0004-06142005001000011-1.txt	SHORT_FORM	RMN	SHORT-LONG	LONG_FORM	resonancia magn�tica nuclear
S0004-06142005001000011-1.txt	SHORT_FORM	ROT	SHORT-LONG	LONG_FORM	reflejos osteotendinosos
S0004-06142005001000011-1.txt	SHORT_FORM	LCR	SHORT-LONG	LONG_FORM	l�quido cefalorraqu�deo
S0004-06142005001000011-1.txt	SHORT_FORM	PCR	SHORT-LONG	LONG_FORM	reacci�n en cadena de la polimerasa
S0004-06142005001000011-1.txt	SHORT_FORM	RCP	SHORT-LONG	LONG_FORM	reflejo cutaneoplantar
S0004-06142005001000011-3.txt	SHORT_FORM	ELISA	SHORT-LONG	LONG_FORM	Determinaci�n sangu�nea de anticuerpos 
S0213-12852003000500002-1.txt	SHORT_FORM	ECG	SHORT-LONG	LONG_FORM	 En el electrocardiograma 
S0213-12852003000500002-1.txt	SHORT_FORM	DTM	SHORT-LONG	LONG_FORM	des�rdenes temporomandibulares
S1130-05582009000600006-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	tomograf�a computerizada
S1130-05582010000200003-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomograf�a computarizada
S1130-05582012000300005-1.txt	SHORT_FORM	PAAF	SHORT-LONG	LONG_FORM	aspiraci�n con aguja fina 
S1130-05582012000300005-1.txt	SHORT_FORM	RM	SHORT-LONG	LONG_FORM	resonancia magn�tica
S1130-05582013000400005-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	 No se palpaban adenomegalias en el cuello y se descart� patolog�a regional y alejada mediante estudios de im�genes  // tomograf�a axial computarizada // 
S0004-06142006000600015-1.txt	SHORT_FORM	FAV	SHORT-LONG	LONG_FORM	f�stula arteriovenosa
S0365-66912004001000008-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912004001000008-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	Tomografia Axial Computarizada
S0365-66912004001000008-1.txt	SHORT_FORM	CA	SHORT-LONG	LONG_FORM	c�mara anterior
S0365-66912005000600011-1.txt	SHORT_FORM	BPA	SHORT-LONG	LONG_FORM	la biomicroscop�a 
S0365-66912005000600011-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912005000600011-1.txt	SHORT_FORM	AV	SHORT-LONG	LONG_FORM	agudeza visual
S0365-66912005000600011-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0365-66912005001000011-1.txt	SHORT_FORM	AV	SHORT-LONG	LONG_FORM	agudeza visual
S0365-66912005001000011-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0004-06142006000700014-1.txt	SHORT_FORM	TAC	SHORT-LONG	LONG_FORM	 que se correspondi� con la aparici�n en las pruebas de imagen 
S0004-06142006000700014-1.txt	SHORT_FORM	CEA	SHORT-LONG	LONG_FORM	Carcino Embrionario
S0365-66912005001100009-1.txt	SHORT_FORM	PIO	SHORT-LONG	LONG_FORM	presi�n intraocular
S0365-66912006000100008-1.txt	SHORT_FORM	RMN	SHORT-LONG	LONG_FORM	resonancia magn�tica nuclear
S0365-66912006000200012-1.txt	SHORT_FORM	NOT	SHORT-LONG	LONG_FORM	neuropat�a �ptica traum�tica
S0365-66912006000200012-1.txt	SHORT_FORM	RMN	SHORT-LONG	LONG_FORM	resonancia magn�tica nuclear
S0365-66912006000200012-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912006000200012-1.txt	SHORT_FORM	AV	SHORT-LONG	LONG_FORM	agudeza visual
S0365-66912006000200012-1.txt	SHORT_FORM	DPAR	SHORT-LONG	LONG_FORM	defecto pupilar aferente relativo
S0365-66912006000200012-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomograf�a computarizada
S0004-06142007000500011-1.txt	SHORT_FORM	VSG	SHORT-LONG	LONG_FORM	lt y una eritosedimentaci�n 
S0365-66912006000500008-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912006000500008-1.txt	SHORT_FORM	AV	SHORT-LONG	LONG_FORM	agudeza visual
S0365-66912006000500008-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0365-66912006000500008-1.txt	SHORT_FORM	AO	SHORT-LONG	LONG_FORM	ambos ojos
S1130-05582017000200119-1.txt	SHORT_FORM	PAAF	SHORT-LONG	LONG_FORM	punci�n-aspiraci�n con aguja fina
S1130-05582017000200119-1.txt	SHORT_FORM	TC	SHORT-LONG	LONG_FORM	tomograf�a computarizada
S0365-66912006000900010-1.txt	SHORT_FORM	RNM	SHORT-LONG	LONG_FORM	Resonancia Nuclear Magn�tica
S0365-66912006001200008-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912006001200008-1.txt	SHORT_FORM	AV	SHORT-LONG	LONG_FORM	agudeza visual
S0365-66912006001200008-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S0365-66912007001200011-1.txt	SHORT_FORM	MA	SHORT-LONG	LONG_FORM	membrana amni�tica
S0365-66912007001200011-1.txt	SHORT_FORM	AV	SHORT-LONG	LONG_FORM	agudeza visual
S0365-66912007001200011-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
S0365-66912007001200011-1.txt	SHORT_FORM	OI	SHORT-LONG	LONG_FORM	ojo izquierdo
S1130-63432014000200011-1.txt	SHORT_FORM	EVA	SHORT-LONG	LONG_FORM	escala visual anal�gica
S0365-66912009000300009-1.txt	SHORT_FORM	OD	SHORT-LONG	LONG_FORM	ojo derecho
